Energy 5 			# in MeV 
Cross_section 0.045260 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 2.5000 	 1.4815e-02	2.4e-03	2.4e-03	2.4e-03	2.2e-03	2.1e-03	1.9e-03	1.6e-03	1.4e-03	1.0e-03	6.5e-04	4.0e-04	2.7e-04	2.2e-04
	 2.6250 	 1.2477e-02	2.1e-03	2.1e-03	2.0e-03	1.9e-03	1.7e-03	1.6e-03	1.4e-03	1.2e-03	8.7e-04	5.3e-04	3.2e-04	2.2e-04	1.7e-04
	 2.7500 	 1.0000e-02	1.6e-03	1.6e-03	1.6e-03	1.5e-03	1.4e-03	1.3e-03	1.1e-03	9.5e-04	7.0e-04	4.2e-04	2.5e-04	1.6e-04	1.3e-04
	 2.8750 	 7.5231e-03	1.2e-03	1.2e-03	1.2e-03	1.1e-03	1.1e-03	9.4e-04	8.3e-04	7.1e-04	5.3e-04	3.1e-04	1.8e-04	1.2e-04	9.3e-05
	 3.0000 	 5.1852e-03	8.6e-04	8.6e-04	8.3e-04	7.8e-04	7.3e-04	6.5e-04	5.7e-04	4.9e-04	3.6e-04	2.1e-04	1.2e-04	7.9e-05	6.1e-05
	 3.1250 	 3.1250e-03	5.2e-04	5.2e-04	5.0e-04	4.7e-04	4.4e-04	3.9e-04	3.4e-04	3.0e-04	2.2e-04	1.3e-04	7.1e-05	4.6e-05	3.5e-05
	 3.2500 	 1.4815e-03	2.4e-04	2.4e-04	2.4e-04	2.2e-04	2.1e-04	1.9e-04	1.6e-04	1.4e-04	1.0e-04	5.9e-05	3.3e-05	2.1e-05	1.6e-05
	 3.3750 	 3.9352e-04	6.5e-05	6.5e-05	6.3e-05	5.9e-05	5.5e-05	4.9e-05	4.3e-05	3.7e-05	2.8e-05	1.6e-05	8.6e-06	5.4e-06	4.2e-06
	 3.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.8750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.1250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.2500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.3750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.8750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.029400

#################################################################################################################################################

Energy 6 			# in MeV 
Cross_section 0.165200 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1500 	 4.5152e-05	3.1e-06	3.1e-06	3.2e-06	3.2e-06	3.2e-06	3.3e-06	3.3e-06	3.4e-06	3.4e-06	3.3e-06	3.5e-06	5.0e-06	6.9e-06
	 0.3000 	 1.7506e-04	1.2e-05	1.2e-05	1.2e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.3e-05	1.4e-05	2.0e-05	2.7e-05
	 0.4500 	 3.8138e-04	2.7e-05	2.7e-05	2.7e-05	2.7e-05	2.7e-05	2.8e-05	2.8e-05	2.8e-05	2.8e-05	2.8e-05	3.0e-05	4.2e-05	5.8e-05
	 0.6000 	 6.5581e-04	4.6e-05	4.6e-05	4.6e-05	4.7e-05	4.7e-05	4.8e-05	4.8e-05	4.9e-05	4.9e-05	4.8e-05	5.2e-05	7.3e-05	1.0e-04
	 0.7500 	 9.9000e-04	6.9e-05	6.9e-05	7.0e-05	7.1e-05	7.1e-05	7.2e-05	7.3e-05	7.4e-05	7.4e-05	7.3e-05	7.8e-05	1.1e-04	1.5e-04
	 0.9000 	 5.9997e-03	4.2e-04	4.2e-04	4.2e-04	4.3e-04	4.4e-04	4.5e-04	4.6e-04	4.7e-04	4.9e-04	4.9e-04	5.3e-04	5.3e-04	5.8e-04
	 1.0500 	 1.8682e-02	1.3e-03	1.3e-03	1.3e-03	1.4e-03	1.4e-03	1.4e-03	1.5e-03	1.5e-03	1.5e-03	1.5e-03	1.7e-03	1.6e-03	1.6e-03
	 1.2000 	 3.6600e-02	2.6e-03	2.6e-03	2.6e-03	2.7e-03	2.7e-03	2.8e-03	2.9e-03	2.9e-03	3.0e-03	3.0e-03	3.3e-03	3.1e-03	3.1e-03
	 1.3500 	 5.7317e-02	4.0e-03	4.0e-03	4.1e-03	4.2e-03	4.2e-03	4.3e-03	4.5e-03	4.6e-03	4.8e-03	4.8e-03	5.2e-03	4.8e-03	4.8e-03
	 1.5000 	 7.8398e-02	5.5e-03	5.5e-03	5.6e-03	5.7e-03	5.8e-03	5.9e-03	6.1e-03	6.3e-03	6.5e-03	6.5e-03	7.2e-03	6.6e-03	6.6e-03
	 1.6500 	 9.7404e-02	6.8e-03	6.8e-03	6.9e-03	7.1e-03	7.2e-03	7.4e-03	7.6e-03	7.8e-03	8.1e-03	8.1e-03	8.9e-03	8.1e-03	8.1e-03
	 1.8000 	 1.1190e-01	7.8e-03	7.8e-03	7.9e-03	8.1e-03	8.3e-03	8.5e-03	8.8e-03	9.0e-03	9.3e-03	9.3e-03	1.0e-02	9.3e-03	9.3e-03
	 1.9500 	 1.1945e-01	8.4e-03	8.4e-03	8.5e-03	8.7e-03	8.9e-03	9.1e-03	9.4e-03	9.6e-03	1.0e-02	1.0e-02	1.1e-02	1.0e-02	1.0e-02
	 2.1000 	 1.1813e-01	8.4e-03	8.4e-03	8.5e-03	8.7e-03	8.9e-03	9.0e-03	9.3e-03	9.5e-03	9.8e-03	9.8e-03	1.1e-02	9.7e-03	9.7e-03
	 2.2500 	 1.0944e-01	8.4e-03	8.3e-03	8.4e-03	8.5e-03	8.6e-03	8.7e-03	8.9e-03	8.9e-03	9.0e-03	8.8e-03	9.5e-03	8.6e-03	8.5e-03
	 2.4000 	 9.5812e-02	8.3e-03	8.3e-03	8.3e-03	8.3e-03	8.3e-03	8.2e-03	8.2e-03	8.1e-03	7.8e-03	7.3e-03	7.6e-03	6.7e-03	6.6e-03
	 2.5500 	 7.9653e-02	8.2e-03	8.2e-03	8.1e-03	8.0e-03	7.8e-03	7.6e-03	7.3e-03	7.0e-03	6.3e-03	5.5e-03	5.4e-03	4.6e-03	4.5e-03
	 2.7000 	 6.3363e-02	8.1e-03	8.0e-03	7.9e-03	7.7e-03	7.3e-03	6.9e-03	6.4e-03	5.9e-03	4.8e-03	3.8e-03	3.3e-03	2.7e-03	2.5e-03
	 2.8500 	 4.9344e-02	7.9e-03	7.9e-03	7.7e-03	7.3e-03	6.8e-03	6.2e-03	5.6e-03	4.9e-03	3.6e-03	2.4e-03	1.7e-03	1.2e-03	9.9e-04
	 3.0000 	 4.0000e-02	7.8e-03	7.7e-03	7.4e-03	6.9e-03	6.3e-03	5.6e-03	4.9e-03	4.2e-03	2.8e-03	1.7e-03	9.1e-04	5.2e-04	3.5e-04
	 3.1500 	 3.3852e-02	7.5e-03	7.3e-03	7.0e-03	6.4e-03	5.7e-03	5.0e-03	4.3e-03	3.6e-03	2.3e-03	1.4e-03	7.4e-04	4.2e-04	2.8e-04
	 3.3000 	 2.7895e-02	6.8e-03	6.7e-03	6.3e-03	5.7e-03	5.0e-03	4.3e-03	3.7e-03	3.0e-03	1.9e-03	1.1e-03	5.8e-04	3.3e-04	2.2e-04
	 3.4500 	 2.2236e-02	5.9e-03	5.8e-03	5.4e-03	4.9e-03	4.2e-03	3.6e-03	3.0e-03	2.5e-03	1.5e-03	8.7e-04	4.5e-04	2.5e-04	1.7e-04
	 3.6000 	 1.6982e-02	4.8e-03	4.7e-03	4.4e-03	3.9e-03	3.4e-03	2.9e-03	2.3e-03	1.9e-03	1.1e-03	6.5e-04	3.3e-04	1.8e-04	1.2e-04
	 3.7500 	 1.2241e-02	3.7e-03	3.6e-03	3.4e-03	3.0e-03	2.6e-03	2.1e-03	1.7e-03	1.4e-03	8.2e-04	4.6e-04	2.3e-04	1.3e-04	8.4e-05
	 3.9000 	 8.1214e-03	2.6e-03	2.5e-03	2.4e-03	2.1e-03	1.8e-03	1.5e-03	1.2e-03	9.4e-04	5.4e-04	3.0e-04	1.5e-04	8.0e-05	5.3e-05
	 4.0500 	 4.7297e-03	1.6e-03	1.6e-03	1.4e-03	1.3e-03	1.1e-03	8.7e-04	7.0e-04	5.5e-04	3.1e-04	1.7e-04	8.2e-05	4.5e-05	3.0e-05
	 4.2000 	 2.1738e-03	7.6e-04	7.4e-04	6.9e-04	6.0e-04	5.0e-04	4.1e-04	3.3e-04	2.6e-04	1.4e-04	7.6e-05	3.6e-05	2.0e-05	1.3e-05
	 4.3500 	 5.6138e-04	2.0e-04	2.0e-04	1.8e-04	1.6e-04	1.3e-04	1.1e-04	8.6e-05	6.7e-05	3.7e-05	1.9e-05	9.1e-06	4.9e-06	3.2e-06
	 4.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.6500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.8000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.9500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.1000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.2500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.4000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.5500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.7000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.8500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.032200

#################################################################################################################################################

Energy 7 			# in MeV 
Cross_section 0.381700 		# in barn

Multiplicity proton 0.999700
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1750 	 9.6822e-04	3.2e-05	3.2e-05	3.5e-05	3.9e-05	4.5e-05	5.5e-05	6.2e-05	7.1e-05	8.9e-05	1.1e-04	9.8e-05	8.2e-05	6.4e-05
	 0.3500 	 1.9844e-03	7.8e-05	7.8e-05	8.4e-05	8.9e-05	1.0e-04	1.2e-04	1.3e-04	1.4e-04	1.8e-04	2.1e-04	2.0e-04	1.8e-04	1.6e-04
	 0.5250 	 3.0510e-03	1.3e-04	1.3e-04	1.4e-04	1.5e-04	1.7e-04	1.8e-04	2.0e-04	2.2e-04	2.6e-04	3.0e-04	3.0e-04	2.9e-04	2.8e-04
	 0.7000 	 4.1702e-03	2.0e-04	2.0e-04	2.1e-04	2.2e-04	2.4e-04	2.6e-04	2.8e-04	3.0e-04	3.4e-04	3.8e-04	4.0e-04	4.1e-04	4.2e-04
	 0.8750 	 5.2656e-03	2.7e-04	2.7e-04	2.8e-04	2.9e-04	3.1e-04	3.3e-04	3.5e-04	3.7e-04	4.1e-04	4.4e-04	5.0e-04	5.4e-04	5.7e-04
	 1.0500 	 6.1892e-03	3.4e-04	3.4e-04	3.5e-04	3.6e-04	3.9e-04	4.0e-04	4.2e-04	4.4e-04	4.6e-04	4.9e-04	5.8e-04	6.6e-04	7.2e-04
	 1.2250 	 7.0664e-03	4.2e-04	4.2e-04	4.3e-04	4.4e-04	4.6e-04	4.6e-04	4.8e-04	4.9e-04	5.1e-04	5.3e-04	6.5e-04	7.9e-04	9.1e-04
	 1.4000 	 8.0374e-03	5.2e-04	5.2e-04	5.3e-04	5.4e-04	5.5e-04	5.4e-04	5.6e-04	5.6e-04	5.6e-04	5.6e-04	7.2e-04	9.3e-04	1.1e-03
	 1.5750 	 9.2419e-03	6.4e-04	6.4e-04	6.5e-04	6.5e-04	6.7e-04	6.3e-04	6.5e-04	6.4e-04	6.1e-04	6.0e-04	8.2e-04	1.1e-03	1.4e-03
	 1.7500 	 1.0820e-02	8.0e-04	8.0e-04	8.0e-04	8.1e-04	8.1e-04	7.6e-04	7.6e-04	7.4e-04	6.9e-04	6.6e-04	9.4e-04	1.3e-03	1.8e-03
	 1.9250 	 1.2912e-02	1.0e-03	1.0e-03	1.0e-03	1.0e-03	1.0e-03	9.2e-04	9.2e-04	8.8e-04	7.9e-04	7.4e-04	1.1e-03	1.6e-03	2.2e-03
	 2.1000 	 2.3532e-02	1.8e-03	1.8e-03	1.8e-03	1.8e-03	1.8e-03	1.7e-03	1.7e-03	1.7e-03	1.6e-03	1.5e-03	2.0e-03	2.6e-03	3.2e-03
	 2.2750 	 7.1063e-02	5.4e-03	5.4e-03	5.4e-03	5.4e-03	5.4e-03	5.2e-03	5.4e-03	5.4e-03	5.4e-03	5.4e-03	5.8e-03	6.4e-03	6.8e-03
	 2.4500 	 1.4196e-01	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.2e-02	1.2e-02
	 2.6250 	 2.1769e-01	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.7e-02	1.7e-02	1.7e-02	1.7e-02	1.8e-02	1.8e-02	1.7e-02
	 2.8000 	 2.7971e-01	2.1e-02	2.1e-02	2.1e-02	2.1e-02	2.1e-02	2.1e-02	2.2e-02	2.2e-02	2.3e-02	2.3e-02	2.3e-02	2.3e-02	2.2e-02
	 2.9750 	 3.0946e-01	2.3e-02	2.3e-02	2.3e-02	2.3e-02	2.3e-02	2.3e-02	2.4e-02	2.4e-02	2.5e-02	2.5e-02	2.5e-02	2.5e-02	2.4e-02
	 3.1500 	 2.9572e-01	2.3e-02	2.3e-02	2.2e-02	2.2e-02	2.2e-02	2.2e-02	2.3e-02	2.3e-02	2.4e-02	2.4e-02	2.4e-02	2.3e-02	2.3e-02
	 3.3250 	 2.5119e-01	2.1e-02	2.1e-02	2.1e-02	2.1e-02	2.0e-02	2.0e-02	2.0e-02	2.0e-02	2.0e-02	1.9e-02	1.9e-02	1.9e-02	1.8e-02
	 3.5000 	 1.9031e-01	1.9e-02	1.9e-02	1.8e-02	1.8e-02	1.7e-02	1.7e-02	1.7e-02	1.6e-02	1.5e-02	1.4e-02	1.3e-02	1.3e-02	1.2e-02
	 3.6750 	 1.2739e-01	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	9.5e-03	7.8e-03	6.8e-03	6.4e-03	6.0e-03
	 3.8500 	 7.6755e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.1e-02	1.0e-02	9.0e-03	7.7e-03	5.3e-03	3.4e-03	2.2e-03	1.7e-03	1.5e-03
	 4.0250 	 5.2349e-02	1.2e-02	1.2e-02	1.1e-02	1.1e-02	9.4e-03	8.2e-03	6.9e-03	5.7e-03	3.4e-03	1.6e-03	6.0e-04	1.9e-04	5.6e-05
	 4.2000 	 4.1392e-02	1.0e-02	1.0e-02	9.1e-03	9.1e-03	7.8e-03	6.7e-03	5.6e-03	4.6e-03	2.7e-03	1.3e-03	4.6e-04	1.5e-04	4.3e-05
	 4.3750 	 3.1543e-02	8.2e-03	8.2e-03	7.3e-03	7.3e-03	6.2e-03	5.3e-03	4.4e-03	3.6e-03	2.0e-03	9.5e-04	3.4e-04	1.1e-04	3.1e-05
	 4.5500 	 2.2882e-02	6.3e-03	6.3e-03	5.6e-03	5.6e-03	4.7e-03	4.0e-03	3.2e-03	2.6e-03	1.5e-03	6.7e-04	2.4e-04	7.6e-05	2.2e-05
	 4.7250 	 1.5487e-02	4.5e-03	4.5e-03	4.0e-03	4.0e-03	3.3e-03	2.8e-03	2.2e-03	1.8e-03	9.8e-04	4.5e-04	1.6e-04	5.0e-05	1.4e-05
	 4.9000 	 9.4375e-03	2.9e-03	2.9e-03	2.5e-03	2.5e-03	2.1e-03	1.8e-03	1.4e-03	1.1e-03	5.9e-04	2.7e-04	9.3e-05	3.0e-05	8.5e-06
	 5.0750 	 4.8130e-03	1.5e-03	1.5e-03	1.4e-03	1.4e-03	1.1e-03	9.2e-04	7.2e-04	5.7e-04	3.0e-04	1.3e-04	4.6e-05	1.5e-05	4.2e-06
	 5.2500 	 1.6923e-03	5.6e-04	5.6e-04	4.9e-04	4.9e-04	4.0e-04	3.3e-04	2.6e-04	2.0e-04	1.0e-04	4.6e-05	1.6e-05	5.0e-06	1.4e-06
	 5.4250 	 1.5473e-04	5.4e-05	5.4e-05	4.7e-05	4.7e-05	3.8e-05	3.1e-05	2.4e-05	1.9e-05	9.5e-06	4.1e-06	1.4e-06	4.4e-07	1.3e-07
	 5.6000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.7750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.9500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.1250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.3000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.4750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.6500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 6.8250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 7.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Multiplicity alpha 0.000000
