Energy 3 			# in MeV 
Cross_section 0.017510 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.7500 	 1.2000e-02	1.1e-03	1.1e-03	1.1e-03	1.0e-03	1.0e-03	1.0e-03	9.8e-04	9.6e-04	9.2e-04	8.8e-04	8.6e-04	8.4e-04	8.4e-04
	 0.8250 	 1.1936e-02	1.1e-03	1.1e-03	1.1e-03	9.9e-04	9.9e-04	9.9e-04	9.7e-04	9.5e-04	9.2e-04	8.8e-04	8.6e-04	8.4e-04	8.4e-04
	 0.9000 	 1.1751e-02	1.1e-03	1.1e-03	1.1e-03	9.8e-04	9.8e-04	9.8e-04	9.6e-04	9.4e-04	9.0e-04	8.6e-04	8.4e-04	8.2e-04	8.2e-04
	 0.9750 	 1.1456e-02	1.1e-03	1.1e-03	1.1e-03	9.5e-04	9.5e-04	9.5e-04	9.4e-04	9.2e-04	8.8e-04	8.4e-04	8.2e-04	8.0e-04	8.0e-04
	 1.0500 	 1.1063e-02	1.0e-03	1.0e-03	1.0e-03	9.2e-04	9.2e-04	9.2e-04	9.0e-04	8.9e-04	8.5e-04	8.1e-04	7.9e-04	7.7e-04	7.7e-04
	 1.1250 	 1.0583e-02	9.7e-04	9.7e-04	9.7e-04	8.8e-04	8.8e-04	8.8e-04	8.6e-04	8.5e-04	8.1e-04	7.8e-04	7.6e-04	7.4e-04	7.4e-04
	 1.2000 	 1.0028e-02	9.2e-04	9.2e-04	9.2e-04	8.4e-04	8.4e-04	8.4e-04	8.2e-04	8.0e-04	7.7e-04	7.4e-04	7.2e-04	7.0e-04	7.0e-04
	 1.2750 	 9.4080e-03	8.6e-04	8.6e-04	8.6e-04	7.8e-04	7.8e-04	7.8e-04	7.7e-04	7.5e-04	7.2e-04	6.9e-04	6.7e-04	6.6e-04	6.6e-04
	 1.3500 	 8.7354e-03	8.0e-04	8.0e-04	8.0e-04	7.3e-04	7.3e-04	7.3e-04	7.1e-04	7.0e-04	6.7e-04	6.4e-04	6.3e-04	6.1e-04	6.1e-04
	 1.4250 	 8.0213e-03	7.4e-04	7.4e-04	7.4e-04	6.7e-04	6.7e-04	6.7e-04	6.6e-04	6.4e-04	6.1e-04	5.9e-04	5.7e-04	5.6e-04	5.6e-04
	 1.5000 	 7.2770e-03	6.7e-04	6.7e-04	6.7e-04	6.1e-04	6.1e-04	6.1e-04	5.9e-04	5.8e-04	5.6e-04	5.3e-04	5.2e-04	5.1e-04	5.1e-04
	 1.5750 	 6.5137e-03	6.0e-04	6.0e-04	6.0e-04	5.4e-04	5.4e-04	5.4e-04	5.3e-04	5.2e-04	5.0e-04	4.8e-04	4.7e-04	4.6e-04	4.6e-04
	 1.6500 	 5.7429e-03	5.3e-04	5.3e-04	5.3e-04	4.8e-04	4.8e-04	4.8e-04	4.7e-04	4.6e-04	4.4e-04	4.2e-04	4.1e-04	4.0e-04	4.0e-04
	 1.7250 	 4.9759e-03	4.6e-04	4.6e-04	4.6e-04	4.1e-04	4.1e-04	4.1e-04	4.1e-04	4.0e-04	3.8e-04	3.6e-04	3.6e-04	3.5e-04	3.5e-04
	 1.8000 	 4.2240e-03	3.9e-04	3.9e-04	3.9e-04	3.5e-04	3.5e-04	3.5e-04	3.4e-04	3.4e-04	3.2e-04	3.1e-04	3.0e-04	3.0e-04	3.0e-04
	 1.8750 	 3.4985e-03	3.2e-04	3.2e-04	3.2e-04	2.9e-04	2.9e-04	2.9e-04	2.9e-04	2.8e-04	2.7e-04	2.6e-04	2.5e-04	2.4e-04	2.4e-04
	 1.9500 	 2.8109e-03	2.6e-04	2.6e-04	2.6e-04	2.3e-04	2.3e-04	2.3e-04	2.3e-04	2.2e-04	2.2e-04	2.1e-04	2.0e-04	2.0e-04	2.0e-04
	 2.0250 	 2.1723e-03	2.0e-04	2.0e-04	2.0e-04	1.8e-04	1.8e-04	1.8e-04	1.8e-04	1.7e-04	1.7e-04	1.6e-04	1.6e-04	1.5e-04	1.5e-04
	 2.1000 	 1.5942e-03	1.5e-04	1.5e-04	1.5e-04	1.3e-04	1.3e-04	1.3e-04	1.3e-04	1.3e-04	1.2e-04	1.2e-04	1.1e-04	1.1e-04	1.1e-04
	 2.1750 	 1.0879e-03	1.0e-04	1.0e-04	1.0e-04	9.1e-05	9.1e-05	9.1e-05	8.9e-05	8.7e-05	8.3e-05	8.0e-05	7.8e-05	7.6e-05	7.6e-05
	 2.2500 	 6.6472e-04	6.1e-05	6.1e-05	6.1e-05	5.5e-05	5.5e-05	5.5e-05	5.4e-05	5.3e-05	5.1e-05	4.9e-05	4.8e-05	4.7e-05	4.7e-05
	 2.3250 	 3.3600e-04	3.1e-05	3.1e-05	3.1e-05	2.8e-05	2.8e-05	2.8e-05	2.7e-05	2.7e-05	2.6e-05	2.5e-05	2.4e-05	2.4e-05	2.4e-05
	 2.4000 	 1.1307e-04	1.0e-05	1.0e-05	1.0e-05	9.4e-06	9.4e-06	9.4e-06	9.2e-06	9.0e-06	8.7e-06	8.3e-06	8.1e-06	7.9e-06	7.9e-06
	 2.4750 	 7.2770e-06	6.7e-07	6.7e-07	6.7e-07	6.1e-07	6.1e-07	6.1e-07	5.9e-07	5.8e-07	5.6e-07	5.3e-07	5.2e-07	5.1e-07	5.1e-07
	 2.5500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.7000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.7750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.8500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.9250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.045000

#################################################################################################################################################

Energy 4 			# in MeV 
Cross_section 0.181300 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1000 	 1.5236e-05	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	1.4e-09	2.5e-06	7.2e-06	1.2e-05
	 0.2000 	 5.9774e-05	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	5.5e-09	9.6e-06	2.8e-05	4.5e-05
	 0.3000 	 1.3186e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	1.2e-08	2.1e-05	6.2e-05	9.8e-05
	 0.4000 	 2.2973e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	2.1e-08	3.7e-05	1.1e-04	1.7e-04
	 0.5000 	 3.5163e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	3.2e-08	5.6e-05	1.6e-04	2.6e-04
	 0.6000 	 4.9581e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.6e-08	8.0e-05	2.3e-04	3.6e-04
	 0.7000 	 6.6051e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.1e-08	1.1e-04	3.0e-04	4.7e-04
	 0.8000 	 1.6720e-03	7.9e-05	7.5e-05	7.5e-05	7.5e-05	7.5e-05	7.0e-05	7.0e-05	7.0e-05	6.5e-05	6.5e-05	1.9e-04	4.4e-04	6.4e-04
	 0.9000 	 8.0873e-03	6.8e-04	6.4e-04	6.4e-04	6.4e-04	6.4e-04	6.0e-04	6.0e-04	6.0e-04	5.6e-04	5.6e-04	6.7e-04	9.4e-04	1.2e-03
	 1.0000 	 1.9686e-02	1.8e-03	1.7e-03	1.7e-03	1.7e-03	1.7e-03	1.6e-03	1.6e-03	1.6e-03	1.5e-03	1.5e-03	1.5e-03	1.8e-03	2.0e-03
	 1.1000 	 3.5373e-02	3.3e-03	3.1e-03	3.1e-03	3.1e-03	3.1e-03	2.9e-03	2.9e-03	2.9e-03	2.7e-03	2.7e-03	2.6e-03	2.9e-03	3.1e-03
	 1.2000 	 5.4055e-02	5.0e-03	4.7e-03	4.7e-03	4.7e-03	4.7e-03	4.4e-03	4.4e-03	4.4e-03	4.1e-03	4.1e-03	4.0e-03	4.2e-03	4.4e-03
	 1.3000 	 7.4636e-02	7.0e-03	6.6e-03	6.6e-03	6.6e-03	6.6e-03	6.2e-03	6.2e-03	6.2e-03	5.7e-03	5.7e-03	5.5e-03	5.7e-03	5.9e-03
	 1.4000 	 9.6024e-02	9.0e-03	8.5e-03	8.5e-03	8.5e-03	8.5e-03	7.9e-03	7.9e-03	7.9e-03	7.4e-03	7.4e-03	7.0e-03	7.2e-03	7.3e-03
	 1.5000 	 1.1712e-01	1.1e-02	1.0e-02	1.0e-02	1.0e-02	1.0e-02	9.7e-03	9.7e-03	9.7e-03	9.1e-03	9.1e-03	8.5e-03	8.6e-03	8.8e-03
	 1.6000 	 1.3684e-01	1.3e-02	1.2e-02	1.2e-02	1.2e-02	1.2e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	1.1e-02	9.9e-03	1.0e-02	1.0e-02
	 1.7000 	 1.5408e-01	1.5e-02	1.4e-02	1.4e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.3e-02	1.2e-02	1.2e-02	1.1e-02	1.1e-02	1.1e-02
	 1.8000 	 1.6775e-01	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.2e-02	1.2e-02	1.2e-02
	 1.9000 	 1.7676e-01	1.7e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.3e-02
	 2.0000 	 1.8000e-01	1.7e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.3e-02
	 2.1000 	 1.7496e-01	1.7e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.3e-02
	 2.2000 	 1.6128e-01	1.5e-02	1.4e-02	1.4e-02	1.4e-02	1.4e-02	1.3e-02	1.3e-02	1.3e-02	1.3e-02	1.3e-02	1.2e-02	1.2e-02	1.2e-02
	 2.3000 	 1.4112e-01	1.3e-02	1.3e-02	1.3e-02	1.3e-02	1.3e-02	1.2e-02	1.2e-02	1.2e-02	1.1e-02	1.1e-02	1.0e-02	1.0e-02	1.0e-02
	 2.4000 	 1.1664e-01	1.1e-02	1.0e-02	1.0e-02	1.0e-02	1.0e-02	9.7e-03	9.7e-03	9.7e-03	9.1e-03	9.1e-03	8.4e-03	8.4e-03	8.4e-03
	 2.5000 	 9.0000e-02	8.5e-03	8.0e-03	8.0e-03	8.0e-03	8.0e-03	7.5e-03	7.5e-03	7.5e-03	7.0e-03	7.0e-03	6.5e-03	6.5e-03	6.5e-03
	 2.6000 	 6.3360e-02	6.0e-03	5.6e-03	5.6e-03	5.6e-03	5.6e-03	5.3e-03	5.3e-03	5.3e-03	4.9e-03	4.9e-03	4.6e-03	4.6e-03	4.6e-03
	 2.7000 	 3.8880e-02	3.7e-03	3.5e-03	3.5e-03	3.5e-03	3.5e-03	3.2e-03	3.2e-03	3.2e-03	3.0e-03	3.0e-03	2.8e-03	2.8e-03	2.8e-03
	 2.8000 	 1.8720e-02	1.8e-03	1.7e-03	1.7e-03	1.7e-03	1.7e-03	1.6e-03	1.6e-03	1.6e-03	1.5e-03	1.5e-03	1.4e-03	1.4e-03	1.4e-03
	 2.9000 	 5.0402e-03	4.8e-04	4.5e-04	4.5e-04	4.5e-04	4.5e-04	4.2e-04	4.2e-04	4.2e-04	3.9e-04	3.9e-04	3.6e-04	3.6e-04	3.6e-04
	 3.0000 	 1.9000e-07	2.8e-06	6.4e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.1000 	 1.6393e-07	2.4e-06	5.5e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.2000 	 1.3999e-07	2.1e-06	4.7e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.3000 	 1.1813e-07	1.7e-06	4.0e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.4000 	 9.8285e-08	1.4e-06	3.3e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.5000 	 8.0423e-08	1.2e-06	2.7e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.6000 	 6.4491e-08	9.5e-07	2.2e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.7000 	 5.0442e-08	7.4e-07	1.7e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.8000 	 3.8225e-08	5.6e-07	1.3e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.9000 	 2.7794e-08	4.1e-07	9.4e-08	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.0000 	 1.9101e-08	2.8e-07	6.4e-08	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.051000

#################################################################################################################################################

Energy 5 			# in MeV 
Cross_section 0.363900 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.2500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.3750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.8750 	 1.1835e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.5e-06	2.4e-05	5.5e-05	8.7e-05
	 1.0000 	 4.7413e-04	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	1.8e-05	9.4e-05	2.1e-04	3.3e-04
	 1.1250 	 1.0684e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.1e-05	2.1e-04	4.7e-04	7.3e-04
	 1.2500 	 1.9024e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	7.3e-05	3.7e-04	8.2e-04	1.2e-03
	 1.3750 	 2.9771e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	1.1e-04	5.7e-04	1.3e-03	1.9e-03
	 1.5000 	 4.2936e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	1.7e-04	8.2e-04	1.8e-03	2.6e-03
	 1.6250 	 5.8530e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	2.3e-04	1.1e-03	2.3e-03	3.4e-03
	 1.7500 	 7.6565e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	3.0e-04	1.4e-03	3.0e-03	4.3e-03
	 1.8750 	 9.7051e-03	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	3.8e-04	1.8e-03	3.7e-03	5.2e-03
	 2.0000 	 1.2000e-02	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.7e-04	2.2e-03	4.4e-03	6.1e-03
	 2.1250 	 2.8375e-02	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.3e-03	1.3e-03	1.3e-03	1.2e-03	1.7e-03	3.5e-03	5.8e-03	7.5e-03
	 2.2500 	 6.7533e-02	5.2e-03	5.2e-03	5.2e-03	5.0e-03	5.0e-03	4.8e-03	4.7e-03	4.7e-03	4.4e-03	4.7e-03	6.2e-03	8.2e-03	9.5e-03
	 2.3750 	 1.2178e-01	1.0e-02	1.0e-02	1.0e-02	1.0e-02	1.0e-02	9.8e-03	9.5e-03	9.5e-03	8.9e-03	9.0e-03	9.9e-03	1.1e-02	1.2e-02
	 2.5000 	 1.8342e-01	1.7e-02	1.7e-02	1.7e-02	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.4e-02	1.4e-02	1.4e-02	1.4e-02
	 2.6250 	 2.4476e-01	2.3e-02	2.3e-02	2.3e-02	2.2e-02	2.2e-02	2.1e-02	2.1e-02	2.1e-02	1.9e-02	1.9e-02	1.8e-02	1.8e-02	1.7e-02
	 2.7500 	 2.9809e-01	2.8e-02	2.8e-02	2.8e-02	2.7e-02	2.7e-02	2.6e-02	2.5e-02	2.5e-02	2.4e-02	2.3e-02	2.2e-02	2.0e-02	1.9e-02
	 2.8750 	 3.3574e-01	3.2e-02	3.2e-02	3.2e-02	3.1e-02	3.1e-02	3.0e-02	2.9e-02	2.9e-02	2.7e-02	2.6e-02	2.4e-02	2.2e-02	2.0e-02
	 3.0000 	 3.5000e-01	3.3e-02	3.3e-02	3.3e-02	3.2e-02	3.2e-02	3.1e-02	3.0e-02	3.0e-02	2.8e-02	2.7e-02	2.5e-02	2.3e-02	2.1e-02
	 3.1250 	 3.3497e-01	3.2e-02	3.2e-02	3.2e-02	3.1e-02	3.1e-02	3.0e-02	2.9e-02	2.9e-02	2.7e-02	2.6e-02	2.4e-02	2.2e-02	2.0e-02
	 3.2500 	 2.9533e-01	2.8e-02	2.8e-02	2.8e-02	2.7e-02	2.7e-02	2.6e-02	2.5e-02	2.5e-02	2.4e-02	2.3e-02	2.1e-02	1.9e-02	1.8e-02
	 3.3750 	 2.3929e-01	2.3e-02	2.3e-02	2.3e-02	2.2e-02	2.2e-02	2.1e-02	2.1e-02	2.1e-02	1.9e-02	1.8e-02	1.7e-02	1.6e-02	1.4e-02
	 3.5000 	 1.7505e-01	1.7e-02	1.7e-02	1.7e-02	1.6e-02	1.6e-02	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	1.1e-02
	 3.6250 	 1.1081e-01	1.1e-02	1.1e-02	1.1e-02	1.0e-02	1.0e-02	9.8e-03	9.5e-03	9.5e-03	8.9e-03	8.5e-03	7.9e-03	7.3e-03	6.6e-03
	 3.7500 	 5.4768e-02	5.4e-03	5.4e-03	5.2e-03	5.0e-03	5.0e-03	4.8e-03	4.7e-03	4.7e-03	4.4e-03	4.2e-03	3.9e-03	3.6e-03	3.3e-03
	 3.8750 	 1.5123e-02	1.7e-03	1.6e-03	1.5e-03	1.4e-03	1.4e-03	1.3e-03	1.3e-03	1.3e-03	1.2e-03	1.2e-03	1.1e-03	9.9e-04	9.0e-04
	 4.0000 	 7.7000e-05	2.5e-04	2.0e-04	8.4e-05	1.6e-06	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.1250 	 6.3933e-05	2.1e-04	1.7e-04	7.0e-05	1.3e-06	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.2500 	 5.2202e-05	1.7e-04	1.4e-04	5.7e-05	1.1e-06	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.3750 	 4.1770e-05	1.4e-04	1.1e-04	4.6e-05	8.7e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.5000 	 3.2597e-05	1.1e-04	8.5e-05	3.6e-05	6.8e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.6250 	 2.4646e-05	8.0e-05	6.4e-05	2.7e-05	5.1e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.7500 	 1.7878e-05	5.8e-05	4.7e-05	2.0e-05	3.7e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.8750 	 1.2257e-05	4.0e-05	3.2e-05	1.3e-05	2.5e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.0000 	 7.7428e-06	2.5e-05	2.0e-05	8.5e-06	1.6e-07	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.054100

